#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2024 01 02 02 00 240 16.0 242 20.1 0153
2024 01 02 02 10 237 16.8 999 99.0 9999
2024 01 02 02 20 241 16.0 999 99.0 9999
2024 01 02 02 30 240 16.3 999 99.0 9999
2024 01 02 02 40 239 17.3 999 99.0 9999
2024 01 02 02 50 238 17.3 999 99.0 9999
2024 01 02 03 00 238 17.7 237 20.0 0254
2024 01 02 03 10 240 17.1 999 99.0 9999
2024 01 02 03 20 237 17.3 999 99.0 9999
2024 01 02 03 30 240 17.8 999 99.0 9999
2024 01 02 03 40 244 17.9 999 99.0 9999
2024 01 02 03 50 241 18.3 999 99.0 9999
2024 01 02 04 00 242 18.2 243 21.5 0335
2024 01 02 04 10 237 18.6 999 99.0 9999
2024 01 02 04 20 240 18.5 999 99.0 9999
2024 01 02 04 30 241 17.8 999 99.0 9999
2024 01 02 04 40 241 18.8 999 99.0 9999
2024 01 02 04 50 242 18.7 999 99.0 9999
2024 01 02 05 00 244 19.0 242 21.9 0447
2024 01 02 05 10 242 18.0 999 99.0 9999
2024 01 02 05 20 243 17.7 999 99.0 9999
2024 01 02 05 30 247 18.1 999 99.0 9999
2024 01 02 05 40 245 18.1 999 99.0 9999
2024 01 02 05 50 248 18.4 999 99.0 9999
2024 01 02 06 00 246 18.6 242 21.5 0531
2024 01 02 06 10 249 16.9 999 99.0 9999
2024 01 02 06 20 251 15.8 999 99.0 9999
2024 01 02 06 30 250 16.9 999 99.0 9999
2024 01 02 06 40 247 17.6 999 99.0 9999
2024 01 02 06 50 250 16.8 999 99.0 9999
2024 01 02 07 00 249 16.2 247 19.7 0638
2024 01 02 07 10 252 15.4 999 99.0 9999
2024 01 02 07 20 252 15.0 999 99.0 9999
2024 01 02 07 30 252 14.9 999 99.0 9999
2024 01 02 07 40 251 14.4 999 99.0 9999
2024 01 02 07 50 248 14.8 999 99.0 9999
2024 01 02 08 00 247 14.7 251 17.3 0703
2024 01 02 08 10 252 14.8 999 99.0 9999
2024 01 02 08 20 249 14.2 999 99.0 9999
2024 01 02 08 30 249 13.9 999 99.0 9999
2024 01 02 08 40 252 13.4 999 99.0 9999
2024 01 02 08 50 251 13.7 999 99.0 9999
2024 01 02 09 00 254 13.4 252 16.6 0805
2024 01 02 09 10 254 14.2 999 99.0 9999
2024 01 02 09 20 253 13.2 999 99.0 9999
2024 01 02 09 30 255 13.3 999 99.0 9999
2024 01 02 09 40 253 12.8 999 99.0 9999
2024 01 02 09 50 253 12.4 999 99.0 9999
2024 01 02 10 00 255 12.8 256 15.8 0900
2024 01 02 10 10 255 12.4 999 99.0 9999
2024 01 02 10 20 255 12.4 999 99.0 9999
2024 01 02 10 30 256 11.7 999 99.0 9999
2024 01 02 10 40 258 11.3 999 99.0 9999
2024 01 02 10 50 255 11.6 999 99.0 9999
2024 01 02 11 00 257 11.9 255 14.0 1007
2024 01 02 11 10 256 12.3 999 99.0 9999
2024 01 02 11 20 257 12.0 999 99.0 9999
2024 01 02 11 30 255 11.3 999 99.0 9999
2024 01 02 11 40 253 11.7 999 99.0 9999
2024 01 02 11 50 255 11.6 999 99.0 9999
2024 01 02 12 00 259 12.1 258 14.1 1157
2024 01 02 12 10 259 12.0 999 99.0 9999
2024 01 02 12 20 264 11.6 999 99.0 9999
2024 01 02 12 30 264 11.5 999 99.0 9999
2024 01 02 12 40 268 10.8 999 99.0 9999
2024 01 02 12 50 272 11.1 999 99.0 9999
2024 01 02 13 00 281 10.8 257 13.7 1202
2024 01 02 13 10 290 10.2 999 99.0 9999
2024 01 02 13 20 282  8.6 999 99.0 9999
2024 01 02 13 30 282  9.3 999 99.0 9999
2024 01 02 13 40 282  9.6 999 99.0 9999
2024 01 02 13 50 287  9.1 999 99.0 9999
2024 01 02 14 00 285  9.3 291 12.7 1300
2024 01 02 14 10 288  9.0 999 99.0 9999
2024 01 02 14 20 288  9.6 999 99.0 9999
2024 01 02 14 30 285  8.8 999 99.0 9999
2024 01 02 14 40 284  8.3 999 99.0 9999
2024 01 02 14 50 288  8.6 999 99.0 9999
2024 01 02 15 00 287  9.0 288 11.2 1409
2024 01 02 15 10 286  9.7 999 99.0 9999
2024 01 02 15 20 282  9.9 999 99.0 9999
2024 01 02 15 30 282  9.7 999 99.0 9999
2024 01 02 15 40 281  8.6 999 99.0 9999
2024 01 02 15 50 284  8.3 999 99.0 9999
2024 01 02 16 00 282  8.0 283 11.1 1519
2024 01 02 16 10 285  7.8 999 99.0 9999
2024 01 02 16 20 287  7.4 999 99.0 9999
2024 01 02 16 30 292  7.3 999 99.0 9999
2024 01 02 16 40 295  6.9 999 99.0 9999
2024 01 02 16 50 296  7.3 999 99.0 9999
2024 01 02 17 00 297  7.8 283  9.3 1602
2024 01 02 17 10 304  8.1 999 99.0 9999
2024 01 02 17 20 302  8.7 999 99.0 9999
2024 01 02 17 30 300  8.8 999 99.0 9999
2024 01 02 17 40 305  9.5 999 99.0 9999
2024 01 02 17 50 303  9.9 999 99.0 9999
2024 01 02 18 00 309 10.5 309 11.8 1758
2024 01 02 18 10 309 10.9 999 99.0 9999
2024 01 02 18 20 311 10.3 999 99.0 9999
2024 01 02 18 30 310  9.1 999 99.0 9999
2024 01 02 18 40 309  7.2 999 99.0 9999
2024 01 02 18 50 310  6.1 999 99.0 9999
2024 01 02 19 00 303  5.4 305 11.9 1800
2024 01 02 19 10 315  5.7 999 99.0 9999
2024 01 02 19 20 317  5.3 999 99.0 9999
2024 01 02 19 30 316  5.5 999 99.0 9999
2024 01 02 19 40 307  5.2 999 99.0 9999
2024 01 02 19 50 311  6.3 999 99.0 9999
2024 01 02 20 00 308  6.4 310  8.0 1944
2024 01 02 20 10 314  6.7 999 99.0 9999
2024 01 02 20 20 311  7.4 999 99.0 9999
2024 01 02 20 30 313  7.9 999 99.0 9999
2024 01 02 20 40 318  7.4 999 99.0 9999
2024 01 02 20 50 314  8.5 999 99.0 9999
2024 01 02 21 00 309  8.6 308 10.3 2051
2024 01 02 21 10 320  8.1 999 99.0 9999
2024 01 02 21 20 321  8.0 999 99.0 9999
2024 01 02 21 30 316  7.1 999 99.0 9999
2024 01 02 21 40 319  7.2 999 99.0 9999
2024 01 02 21 50 319  7.8 999 99.0 9999
2024 01 02 22 00 324  8.4 322 11.0 2155
2024 01 02 22 10 331  8.3 999 99.0 9999
2024 01 02 22 20 322  8.3 999 99.0 9999
2024 01 02 22 30 320  8.0 999 99.0 9999
2024 01 02 22 40 313  8.5 999 99.0 9999
2024 01 02 22 50 314  7.7 999 99.0 9999
2024 01 02 23 00 317  7.6 321 10.5 2216
2024 01 02 23 10 315  7.8 999 99.0 9999
2024 01 02 23 20 314  8.0 999 99.0 9999
2024 01 02 23 30 315  7.3 999 99.0 9999
2024 01 02 23 40 311  7.3 999 99.0 9999
2024 01 02 23 50 314  7.0 999 99.0 9999
2024 01 03 00 00 311  7.9 309 10.0 2354
2024 01 03 00 10 297  6.8 999 99.0 9999
2024 01 03 00 20 303  6.5 999 99.0 9999
2024 01 03 00 30 309  6.0 999 99.0 9999
2024 01 03 00 40 307  7.4 999 99.0 9999
2024 01 03 00 50 304  8.3 999 99.0 9999
2024 01 03 01 00 315  7.6 313 10.7 0051
2024 01 03 01 10 314  6.6 999 99.0 9999
2024 01 03 01 20 309  5.8 999 99.0 9999
2024 01 03 01 30 296  6.8 999 99.0 9999
2024 01 03 01 40 300  6.4 999 99.0 9999
2024 01 03 01 50 300  6.2 999 99.0 9999
2024 01 03 02 00 302  5.7 308  8.5 0100
2024 01 03 02 10 294  6.3 999 99.0 9999
2024 01 03 02 20 290  7.3 999 99.0 9999
2024 01 03 02 30 290  8.1 999 99.0 9999
2024 01 03 02 40 291  7.9 999 99.0 9999
2024 01 03 02 50 295  7.8 999 99.0 9999
2024 01 03 03 00 293  8.1 284 10.0 0222
2024 01 03 03 10 288  8.0 999 99.0 9999
2024 01 03 03 20 309  8.3 999 99.0 9999
2024 01 03 03 30 309  7.9 999 99.0 9999
2024 01 03 03 40 306  7.3 999 99.0 9999
2024 01 03 03 50 312  7.3 999 99.0 9999
2024 01 03 04 00 309  7.3 299 10.3 0311
2024 01 03 04 10 308  7.8 999 99.0 9999
2024 01 03 04 20 311  8.6 999 99.0 9999
2024 01 03 04 30 310  9.2 999 99.0 9999
2024 01 03 04 40 309  8.9 999 99.0 9999
2024 01 03 04 50 314  8.4 999 99.0 9999
2024 01 03 05 00 298  7.8 309 11.0 0439
2024 01 03 05 10 303  9.8 999 99.0 9999
2024 01 03 05 20 297 10.7 999 99.0 9999
2024 01 03 05 30 300 10.5 999 99.0 9999
2024 01 03 05 40 300 10.1 999 99.0 9999
2024 01 03 05 50 302  9.5 999 99.0 9999
2024 01 03 06 00 309  9.4 303 11.8 0531
2024 01 03 06 10 310  8.9 999 99.0 9999
2024 01 03 06 20 309  8.9 999 99.0 9999
2024 01 03 06 30 309  9.1 999 99.0 9999
2024 01 03 06 40 309  8.9 999 99.0 9999
2024 01 03 06 50 310  8.9 999 99.0 9999
2024 01 03 07 00 317  8.6 309 11.4 0649
2024 01 03 07 10 318  9.1 999 99.0 9999
2024 01 03 07 20 325  8.7 999 99.0 9999
2024 01 03 07 30 330  9.5 999 99.0 9999
2024 01 03 07 40 327  8.5 999 99.0 9999
2024 01 03 07 50 325  8.5 999 99.0 9999
2024 01 03 08 00 325  8.6 325 11.5 0720
2024 01 03 08 10 329  9.9 999 99.0 9999
2024 01 03 08 20 328 10.5 999 99.0 9999
2024 01 03 08 30 331 10.7 999 99.0 9999
2024 01 03 08 40 329 11.1 999 99.0 9999
2024 01 03 08 50 330 10.5 999 99.0 9999
2024 01 03 09 00 336 10.9 336 12.7 0858
2024 01 03 09 10 339 10.1 999 99.0 9999
2024 01 03 09 20 336 10.6 999 99.0 9999
2024 01 03 09 30 341 10.6 999 99.0 9999
2024 01 03 09 40 332 10.7 999 99.0 9999
2024 01 03 09 50 335 10.0 999 99.0 9999
2024 01 03 10 00 342  9.5 335 12.6 0946
2024 01 03 10 10 346 10.0 999 99.0 9999
2024 01 03 10 20 351  9.9 999 99.0 9999
2024 01 03 10 30 358 11.2 999 99.0 9999
2024 01 03 10 40 353 11.2 999 99.0 9999
2024 01 03 10 50 350 11.0 999 99.0 9999
2024 01 03 11 00 350 10.8 359 13.4 1031
2024 01 03 11 10 353 11.2 999 99.0 9999
2024 01 03 11 20 357 11.4 999 99.0 9999
2024 01 03 11 30 351 11.7 999 99.0 9999
2024 01 03 11 40 353 11.3 999 99.0 9999
2024 01 03 11 50 351 11.5 999 99.0 9999
2024 01 03 12 00 351 11.4 352 13.4 1128
2024 01 03 12 10 350 11.2 999 99.0 9999
2024 01 03 12 20 348 11.7 999 99.0 9999
2024 01 03 12 30 354 11.2 999 99.0 9999
2024 01 03 12 40 352 11.3 999 99.0 9999
2024 01 03 12 50 356 10.8 999 99.0 9999
2024 01 03 13 00 352 11.0 347 14.1 1216
2024 01 03 13 10 348 11.4 999 99.0 9999
2024 01 03 13 20 353 11.6 999 99.0 9999
2024 01 03 13 30 351 11.0 999 99.0 9999
2024 01 03 13 40 357 10.2 999 99.0 9999
2024 01 03 13 50 354 10.5 999 99.0 9999
2024 01 03 14 00 353  9.6 346 13.0 1301
2024 01 03 14 10 359  9.3 999 99.0 9999
2024 01 03 14 20 359  8.9 999 99.0 9999
2024 01 03 14 30 357  8.6 999 99.0 9999
2024 01 03 14 40 354  9.5 999 99.0 9999
2024 01 03 14 50 348  9.8 999 99.0 9999
2024 01 03 15 00 346  9.7 351 11.6 1450
2024 01 03 15 10 350  9.6 999 99.0 9999
2024 01 03 15 20 348  9.6 999 99.0 9999
2024 01 03 15 30 348 10.3 999 99.0 9999
2024 01 03 15 40 350 10.3 999 99.0 9999
2024 01 03 15 50 348 10.2 999 99.0 9999
2024 01 03 16 00 355  9.9 349 11.8 1531
2024 01 03 16 10 345  9.7 999 99.0 9999
2024 01 03 16 20 350  9.7 999 99.0 9999
2024 01 03 16 30 355 10.2 999 99.0 9999
2024 01 03 16 40 357  9.8 999 99.0 9999
2024 01 03 16 50 354  9.5 999 99.0 9999
2024 01 03 17 00 354 10.7 349 12.7 1618
2024 01 03 17 10 350 10.9 999 99.0 9999
2024 01 03 17 20 350 10.9 999 99.0 9999
2024 01 03 17 30 339  9.3 999 99.0 9999
2024 01 03 17 40 349  8.3 999 99.0 9999
2024 01 03 17 50 345  8.0 999 99.0 9999
2024 01 03 18 00 353  7.7 351 14.9 1716
2024 01 03 18 10 348  8.5 999 99.0 9999
2024 01 03 18 20 356  8.3 999 99.0 9999
2024 01 03 18 30 357  8.1 999 99.0 9999
2024 01 03 18 40 356  9.0 999 99.0 9999
2024 01 03 18 50   0  8.3 999 99.0 9999
2024 01 03 19 00   1  8.6 344 11.6 1803
2024 01 03 19 10 358  7.4 999 99.0 9999
2024 01 03 19 20 358  6.7 999 99.0 9999
2024 01 03 19 30   2  6.9 999 99.0 9999
2024 01 03 19 40 351  6.8 999 99.0 9999
2024 01 03 19 50 343  7.2 999 99.0 9999
2024 01 03 20 00 350  7.2 351  9.4 1951
2024 01 03 20 10 340  6.7 999 99.0 9999
2024 01 03 20 20 335  6.6 999 99.0 9999
2024 01 03 20 30 338  7.0 999 99.0 9999
2024 01 03 20 40 340  7.7 999 99.0 9999
2024 01 03 20 50 345  6.9 999 99.0 9999
2024 01 03 21 00 333  7.2 340  9.7 2039
