clade_name	TrimGalore/WM01_S1_R1_001_val_1.fq.gz	TrimGalore/WM02_S2_R1_001_val_1.fq.gz	TrimGalore/WM03_S3_R1_001_val_1.fq.gz	TrimGalore/WM04_S4_R1_001_val_1.fq.gz	TrimGalore/WM05_S5_R1_001_val_1.fq.gz	TrimGalore/WM11_S6_R1_001_val_1.fq.gz	TrimGalore/WM12_S7_R1_001_val_1.fq.gz	TrimGalore/WM13_S8_R1_001_val_1.fq.gz	TrimGalore/WM14_S9_R1_001_val_1.fq.gz	TrimGalore/WM15_S10_R1_001_val_1.fq.gz	TrimGalore/WM16_S11_R1_001_val_1.fq.gz	TrimGalore/WM17_S12_R1_001_val_1.fq.gz	TrimGalore/WM18_S13_R1_001_val_1.fq.gz	TrimGalore/WM19_S14_R1_001_val_1.fq.gz	TrimGalore/WM20_S15_R1_001_val_1.fq.gz	TrimGalore/WM21_S16_R1_001_val_1.fq.gz	TrimGalore/WM22_S17_R1_001_val_1.fq.gz	TrimGalore/WM23_S18_R1_001_val_1.fq.gz	TrimGalore/WM24_S19_R1_001_val_1.fq.gz
d__Bacteria|p__Acidobacteriota|c__Terriglobia|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-187|s__Palsa-187 sp945861625|t__GCA_945861625.1	0.0	0.0	0.0	0.0	0.0	0.0417	0.0	0.0291	0.0473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	0.0	0.0	0.0398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	0.0	0.0	0.0398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999	0.0	0.0	0.0398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__12-FULL-67-14b	0.0	0.0	0.0398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__12-FULL-67-14b|s__12-FULL-67-14b sp002737365	0.0	0.0	0.0398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__12-FULL-67-14b|s__12-FULL-67-14b sp002737365|t__GCA_002737365.1	0.0	0.0	0.0398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota	29.0689	39.1591	20.4865	23.86960000000001	25.198999999999995	18.602999999999994	14.374299999999998	15.6079	16.186800000000005	13.6507	22.32899999999999	11.151299999999996	8.4645	6.8582	12.8362	15.1303	15.38	15.5286	21.2182
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia	3.0724	4.3817	2.3511	5.537099999999999	6.014500000000001	6.6498	5.740500000000002	5.843600000000001	5.012899999999998	4.797600000000001	6.367000000000001	0.2388	0.0885	0.1249	0.1535	0.4701999999999999	0.6962	0.2624999999999999	0.2981
d__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Acidimicrobiales	2.3980999999999995	2.8555	1.9509	3.621	5.0661000000000005	4.8778	4.805900000000002	5.1926000000000005	4.3371	4.3813	5.793200000000001	0.1536	0.0682	0.07	0.1115	0.3908	0.5553	0.1764	0.2045
