k	p	c	o	f	g	s	otu
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__unknown	o__OTU1120
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unknown	o__OTU11213
k__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Blastocatellales	f__Blastocatellaceae	g__JGI 0001001-H03	s__unknown	o__OTU1122
k__Bacteria	p__NB1-j	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1124
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1125
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU1126
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__unknown	g__unknown	s__unknown	o__OTU1128
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__KD3-93	g__unknown	s__unknown	o__OTU1131
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__unknown	s__unknown	o__OTU1132
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__OLB12	s__unknown	o__OTU1134
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unknown	o__OTU1136
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__unknown	g__unknown	s__unknown	o__OTU1137
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__unknown	o__OTU114
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__unknown	s__unknown	o__OTU11402
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	s__unknown	o__OTU1141
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__SM2D12	g__unknown	s__unknown	o__OTU1142
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Rubritaleaceae	g__Luteolibacter	s__Verrucomicrobia bacterium	o__OTU1145
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__unknown	o__OTU1149
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PLTA13	f__unknown	g__unknown	s__unknown	o__OTU1151
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU1153
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Sporichthyaceae	g__Longivirga	s__unknown	o__OTU1155
k__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__unknown	s__unknown	o__OTU1160
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Ilumatobacteraceae	g__CL500-29 marine group	s__unknown	o__OTU1163
k__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__unknown	o__OTU1164
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__unknown	g__unknown	s__unknown	o__OTU1167
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__unknown	g__	s__unknown	o__OTU117
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__unknown	s__unknown	o__OTU1170
k__Bacteria	p__NB1-j	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1173
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__KD3-93	g__unknown	s__unknown	o__OTU1174
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Paracaedibacterales	f__Paracaedibacteraceae	g__Candidatus Paracaedibacter	s__unknown	o__OTU1176
k__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__unknown	g__unknown	s__unknown	o__OTU1179
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS 17	g__unknown	s__unknown	o__OTU118
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Tenderiales	f__Tenderiaceae	g__Candidatus Tenderia	s__unknown	o__OTU1180
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1186
