bin	id
WM11_S6_019	K03644
WM11_S6_019	K03650
WM11_S6_019	K03651
WM11_S6_019	K03654
WM11_S6_019	K03655
WM11_S6_019	K03656
WM11_S6_019	K03664
WM11_S6_019	K03665
WM11_S6_019	K03671
WM11_S6_019	K03685
WM11_S6_019	K03688
WM11_S6_019	K03695
WM11_S6_019	K03696
WM11_S6_019	K03699
WM11_S6_019	K03701
WM11_S6_019	K03702
WM11_S6_019	K03703
WM11_S6_019	K03709
WM11_S6_019	K03711
WM11_S6_019	K03712
WM11_S6_019	K03723
WM11_S6_019	K03733
WM11_S6_019	K03741
WM11_S6_019	K03742
WM11_S6_019	K03744
WM11_S6_019	K03748
WM11_S6_019	K03768
WM11_S6_019	K03770
WM11_S6_019	K03771
WM11_S6_019	K03772
WM11_S6_019	K03775
WM11_S6_019	K03778
WM11_S6_019	K03783
WM11_S6_019	K03787
WM11_S6_019	K03790
WM11_S6_019	K03797
WM11_S6_019	K03801
WM11_S6_019	K03802
WM11_S6_019	K03811
WM11_S6_019	K03814
WM11_S6_019	K03820
WM11_S6_019	K03821
WM11_S6_019	K03828
WM11_S6_019	K03829
WM11_S6_019	K03832
WM11_S6_019	K03841
WM11_S6_019	K03885
WM11_S6_019	K03924
WM11_S6_019	K03929
WM11_S6_019	K03932
WM11_S6_019	K03943
WM11_S6_019	K03972
WM11_S6_019	K03973
WM11_S6_019	K03975
WM11_S6_019	K03977
WM11_S6_019	K03978
WM11_S6_019	K03979
WM11_S6_019	K04034
WM11_S6_019	K04043
WM11_S6_019	K04066
WM11_S6_019	K04077
WM11_S6_019	K04078
WM11_S6_019	K04079
WM11_S6_019	K04084
WM11_S6_019	K04096
WM11_S6_019	K04127
WM11_S6_019	K04485
WM11_S6_019	K04487
WM11_S6_019	K04516
WM11_S6_019	K04564
WM11_S6_019	K04567
WM11_S6_019	K04744
WM11_S6_019	K04750
WM11_S6_019	K04755
WM11_S6_019	K04757
WM11_S6_019	K04759
WM11_S6_019	K04763
WM11_S6_019	K04771
WM11_S6_019	K04772
WM11_S6_019	K04773
WM11_S6_019	K04883
WM11_S6_019	K04985
WM11_S6_019	K05271
WM11_S6_019	K05275
WM11_S6_019	K05366
WM11_S6_019	K05367
WM11_S6_019	K05515
WM11_S6_019	K05516
WM11_S6_019	K05520
WM11_S6_019	K05521
WM11_S6_019	K05522
WM11_S6_019	K05540
WM11_S6_019	K05591
WM11_S6_019	K05592
WM11_S6_019	K05595
WM11_S6_019	K05685
