bin	id
WM01_S1_026	K00966
WM01_S1_026	K00971
WM01_S1_026	K00971
WM01_S1_026	K00975
WM01_S1_026	K00975
WM01_S1_026	K00979
WM01_S1_026	K00979
WM01_S1_026	K01006
WM01_S1_026	K01006
WM01_S1_026	K01006
WM01_S1_026	K01006
WM01_S1_026	K01006
WM01_S1_026	K01006
WM01_S1_026	K01006
WM01_S1_026	K01027
WM01_S1_026	K01029
WM01_S1_026	K01048
WM01_S1_026	K01048
WM01_S1_026	K01070
WM01_S1_026	K01182
WM01_S1_026	K01182
WM01_S1_026	K01182
WM01_S1_026	K01207
WM01_S1_026	K01207
WM01_S1_026	K01214
WM01_S1_026	K01243
WM01_S1_026	K01426
WM01_S1_026	K01426
WM01_S1_026	K01426
WM01_S1_026	K01426
WM01_S1_026	K01426
WM01_S1_026	K01432
WM01_S1_026	K01438
WM01_S1_026	K01438
WM01_S1_026	K01439
WM01_S1_026	K01439
WM01_S1_026	K01443
WM01_S1_026	K01448
WM01_S1_026	K01449
WM01_S1_026	K01449
WM01_S1_026	K01451
WM01_S1_026	K01458
WM01_S1_026	K01465
WM01_S1_026	K01468
WM01_S1_026	K01468
WM01_S1_026	K01473
WM01_S1_026	K01473
WM01_S1_026	K01473
WM01_S1_026	K01474
WM01_S1_026	K01474
WM01_S1_026	K01478
WM01_S1_026	K01480
WM01_S1_026	K01485
WM01_S1_026	K01485
WM01_S1_026	K01485
WM01_S1_026	K01486
WM01_S1_026	K01486
WM01_S1_026	K01487
WM01_S1_026	K01487
WM01_S1_026	K01488
WM01_S1_026	K01491
WM01_S1_026	K01491
WM01_S1_026	K01515
WM01_S1_026	K01520
WM01_S1_026	K01524
WM01_S1_026	K01537
WM01_S1_026	K01556
WM01_S1_026	K01557
WM01_S1_026	K01557
WM01_S1_026	K01581
WM01_S1_026	K01586
WM01_S1_026	K01586
WM01_S1_026	K01591
WM01_S1_026	K01609
WM01_S1_026	K01610
WM01_S1_026	K01610
WM01_S1_026	K01620
WM01_S1_026	K01624
WM01_S1_026	K01624
WM01_S1_026	K01624
WM01_S1_026	K01624
WM01_S1_026	K01624
WM01_S1_026	K01625
WM01_S1_026	K01625
WM01_S1_026	K01625
WM01_S1_026	K01627
WM01_S1_026	K01627
WM01_S1_026	K01627
WM01_S1_026	K01652
WM01_S1_026	K01652
WM01_S1_026	K01657
WM01_S1_026	K01657
WM01_S1_026	K01681
WM01_S1_026	K01681
WM01_S1_026	K01681
WM01_S1_026	K01681
WM01_S1_026	K01684
WM01_S1_026	K01687
WM01_S1_026	K01687
WM01_S1_026	K01687
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01689
WM01_S1_026	K01692
WM01_S1_026	K01692
WM01_S1_026	K01692
WM01_S1_026	K01692
WM01_S1_026	K01692
WM01_S1_026	K01692
WM01_S1_026	K01693
WM01_S1_026	K01693
WM01_S1_026	K01693
WM01_S1_026	K01695
WM01_S1_026	K01695
WM01_S1_026	K01695
WM01_S1_026	K01696
WM01_S1_026	K01696
WM01_S1_026	K01696
WM01_S1_026	K01696
WM01_S1_026	K01712
WM01_S1_026	K01712
WM01_S1_026	K01735
WM01_S1_026	K01736
WM01_S1_026	K01745
WM01_S1_026	K01745
WM01_S1_026	K01750
WM01_S1_026	K01754
WM01_S1_026	K01754
WM01_S1_026	K01759
WM01_S1_026	K01776
WM01_S1_026	K01776
WM01_S1_026	K01776
WM01_S1_026	K01778
WM01_S1_026	K01781
WM01_S1_026	K01784
WM01_S1_026	K01784
WM01_S1_026	K01805
WM01_S1_026	K01805
WM01_S1_026	K01805
WM01_S1_026	K01805
WM01_S1_026	K01805
WM01_S1_026	K01807
WM01_S1_026	K01807
WM01_S1_026	K01807
WM01_S1_026	K01807
WM01_S1_026	K01817
WM01_S1_026	K01835
WM01_S1_026	K01835
WM01_S1_026	K01835
WM01_S1_026	K01835
WM01_S1_026	K01838
WM01_S1_026	K01838
WM01_S1_026	K01840
WM01_S1_026	K01840
WM01_S1_026	K01897
WM01_S1_026	K01897
WM01_S1_026	K01905
WM01_S1_026	K01905
WM01_S1_026	K01905
WM01_S1_026	K01905
WM01_S1_026	K01915
WM01_S1_026	K01915
WM01_S1_026	K01915
WM01_S1_026	K01921
WM01_S1_026	K01923
WM01_S1_026	K01924
WM01_S1_026	K01924
WM01_S1_026	K01924
WM01_S1_026	K01925
WM01_S1_026	K01925
WM01_S1_026	K01925
WM01_S1_026	K01928
WM01_S1_026	K01928
WM01_S1_026	K01928
WM01_S1_026	K01933
WM01_S1_026	K01939
WM01_S1_026	K01939
WM01_S1_026	K01951
WM01_S1_026	K01952
WM01_S1_026	K01956
WM01_S1_026	K01956
WM01_S1_026	K01965
WM01_S1_026	K01990
WM01_S1_026	K01995
WM01_S1_026	K01996
WM01_S1_026	K01998
WM01_S1_026	K02003
WM01_S1_026	K02006
WM01_S1_026	K02010
WM01_S1_026	K02011
WM01_S1_026	K02013
WM01_S1_026	K02017
