bin	name	count
WM01_S1_034	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	2
WM01_S1_034	12_Transporters	13
WM01_S1_036	06_Amino acid utilization biosynthesis metabolism	99
WM01_S1_036	01_Fermentation	87
WM01_S1_036	05_Fatty acid oxidation	16
WM01_S1_036	20_Hydrolysis of polymers	28
WM01_S1_036	21_Cellular response to stress	101
WM01_S1_036	14_Methanogenesis	2
WM01_S1_036	18_Sulfur compounds metabolism	2
WM01_S1_036	08_Hydrocarbon degradation	14
WM01_S1_036	09_Carbohydrate Active enzyme - CAZy	14
WM01_S1_036	19_Saccharide and derivated synthesis	78
WM01_S1_036	16_Embden Meyerhof-Parnos (EMP)	4
WM01_S1_036	07_Nucleic acid metabolism	15
WM01_S1_036	17_Gluconeogenesis	5
WM01_S1_036	15_Methylotrophy	6
WM01_S1_036	10_TCA cycle	4
WM01_S1_036	11_Nitrogen cycle	2
WM01_S1_036	12_Transporters	45
WM01_S1_036	02_Homoacetogenesis	16
WM01_S1_036	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	2
WM01_S1_039	21_Cellular response to stress	75
WM01_S1_039	06_Amino acid utilization biosynthesis metabolism	161
WM01_S1_039	01_Fermentation	57
WM01_S1_039	08_Hydrocarbon degradation	3
WM01_S1_039	15_Methylotrophy	11
WM01_S1_039	19_Saccharide and derivated synthesis	39
WM01_S1_039	02_Homoacetogenesis	17
WM01_S1_039	16_Embden Meyerhof-Parnos (EMP)	24
WM01_S1_039	17_Gluconeogenesis	9
WM01_S1_039	05_Fatty acid oxidation	12
WM01_S1_039	07_Nucleic acid metabolism	66
WM01_S1_039	11_Nitrogen cycle	2
WM01_S1_039	18_Sulfur compounds metabolism	18
WM01_S1_039	09_Carbohydrate Active enzyme - CAZy	20
WM01_S1_039	20_Hydrolysis of polymers	22
WM01_S1_039	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	3
WM01_S1_039	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
WM01_S1_039	10_TCA cycle	6
WM01_S1_039	14_Methanogenesis	6
WM01_S1_039	12_Transporters	61
WM01_S1_043	01_Fermentation	170
WM01_S1_043	21_Cellular response to stress	139
WM01_S1_043	20_Hydrolysis of polymers	35
WM01_S1_043	06_Amino acid utilization biosynthesis metabolism	249
WM01_S1_043	19_Saccharide and derivated synthesis	95
WM01_S1_043	14_Methanogenesis	6
WM01_S1_043	15_Methylotrophy	12
WM01_S1_043	05_Fatty acid oxidation	68
WM01_S1_043	08_Hydrocarbon degradation	15
WM01_S1_043	11_Nitrogen cycle	17
WM01_S1_043	18_Sulfur compounds metabolism	3
WM01_S1_043	07_Nucleic acid metabolism	49
WM01_S1_043	09_Carbohydrate Active enzyme - CAZy	26
WM01_S1_043	03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
WM01_S1_043	17_Gluconeogenesis	6
WM01_S1_043	10_TCA cycle	5
WM01_S1_043	16_Embden Meyerhof-Parnos (EMP)	6
WM01_S1_043	04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
WM01_S1_043	02_Homoacetogenesis	16
WM01_S1_043	12_Transporters	127
WM01_S1_043	13_Hydrogen metabolism	8
WM02_S2_002	06_Amino acid utilization biosynthesis metabolism	444
WM02_S2_002	01_Fermentation	216
WM02_S2_002	21_Cellular response to stress	440
WM02_S2_002	20_Hydrolysis of polymers	122
WM02_S2_002	05_Fatty acid oxidation	42
