bin	name	count
WM03_S3_008	Not Included in Pathway or Brite	302
WM03_S3_008	Environmental Information Processing	172
WM03_S3_008	Organismal Systems	91
WM03_S3_008	Genetic Information Processing	85
WM03_S3_010	Metabolism	1378
WM03_S3_010	Environmental Information Processing	129
WM03_S3_010	Brite Hierarchies	1222
WM03_S3_010	Not Included in Pathway or Brite	346
WM03_S3_010	Human Diseases	126
WM03_S3_010	Organismal Systems	83
WM03_S3_010	Cellular Processes	126
WM03_S3_010	Genetic Information Processing	173
WM03_S3_014	Metabolism	679
WM03_S3_014	Organismal Systems	43
WM03_S3_014	Human Diseases	125
WM03_S3_014	Brite Hierarchies	977
WM03_S3_014	Not Included in Pathway or Brite	241
WM03_S3_014	Environmental Information Processing	156
WM03_S3_014	Cellular Processes	194
WM03_S3_014	Genetic Information Processing	91
WM03_S3_015	Metabolism	1307
WM03_S3_015	Organismal Systems	60
WM03_S3_015	Cellular Processes	216
WM03_S3_015	Human Diseases	162
WM03_S3_015	Brite Hierarchies	1420
WM03_S3_015	Not Included in Pathway or Brite	386
WM03_S3_015	Environmental Information Processing	202
WM03_S3_015	Genetic Information Processing	178
WM03_S3_017	Metabolism	1458
WM03_S3_017	Environmental Information Processing	277
WM03_S3_017	Cellular Processes	165
WM03_S3_017	Human Diseases	196
WM03_S3_017	Brite Hierarchies	1579
WM03_S3_017	Not Included in Pathway or Brite	403
WM03_S3_017	Organismal Systems	84
WM03_S3_017	Genetic Information Processing	171
WM03_S3_018	Metabolism	2133
WM03_S3_018	Environmental Information Processing	550
WM03_S3_018	Human Diseases	259
WM03_S3_018	Brite Hierarchies	2753
WM03_S3_018	Not Included in Pathway or Brite	647
WM03_S3_018	Organismal Systems	116
WM03_S3_018	Cellular Processes	224
WM03_S3_018	Genetic Information Processing	174
WM03_S3_019	Metabolism	827
WM03_S3_019	Environmental Information Processing	80
WM03_S3_019	Cellular Processes	55
WM03_S3_019	Human Diseases	94
WM03_S3_019	Brite Hierarchies	845
WM03_S3_019	Not Included in Pathway or Brite	153
WM03_S3_019	Organismal Systems	37
WM03_S3_019	Genetic Information Processing	160
WM03_S3_020	Metabolism	1351
WM03_S3_020	Environmental Information Processing	162
WM03_S3_020	Cellular Processes	119
WM03_S3_020	Human Diseases	146
WM03_S3_020	Brite Hierarchies	1328
WM03_S3_020	Not Included in Pathway or Brite	378
WM03_S3_020	Organismal Systems	83
WM03_S3_020	Genetic Information Processing	170
