	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU114	0	3283	398	30	2490	4549	11177	23534	16670	5024	1347	761	1492	1392	1594	1974	2830	4847	2782	1591
OTU115	0	1057	4	0	14941	15524	5145	870	26839	14469	1237	166	64	261	395	703	3950	282	429	411
OTU116	0	3230	11564	6	2756	21621	8519	10135	7871	1853	605	93	392	941	506	1899	3296	5452	3859	2022
OTU117	0	2421	1708	2	13389	10040	24386	6235	2422	2446	936	136	447	575	8226	354	8976	1470	12	17
OTU118	0	267	2261	29	466	167	3004	8125	2051	2209	491	432	14	14787	4729	18576	25539	247	211	202
OTU119	0	2017	103	2825	334	4905	36252	10822	13441	5996	806	605	42	59	48	84	1779	1781	1199	495
OTU120	0	2118	1105	3134	2621	2038	15354	20803	26147	5519	809	734	30	55	71	28	345	1190	400	254
OTU121	0	386	2	31062	5824	1507	874	19217	9048	574	296	446	69	6367	788	932	1846	2538	25	56
OTU122	0	29	3	2	11	2	12	42557	20	1059	9	583	632	13779	3759	14021	8	2207	2107	0
OTU123	0	29	2	36419	69	5481	22561	1	172	12	25	2	1406	22	9	0	54	8493	4588	36
OTU124	3	1067	1095	431	861	2841	1512	2749	2666	849	86	42	618	518	970	463	10408	37995	9148	4657
OTU125	2	2602	1428	24	875	520	2649	525	337	865	31	301	561	3481	1456	2851	3881	32406	16242	7851
OTU126	0	12697	8939	4479	9134	11945	8549	11616	7163	2810	282	317	9	12	3	6	39	411	66	28
OTU127	1	9409	3321	56	12887	3601	2092	3286	1366	1244	32	52	539	381	272	209	5408	23057	5006	4501
OTU128	1	40	0	1	723	24	70	12408	108	1559	268	28	757	2604	831	476	54032	2457	78	96
OTU129	0	6315	8568	13348	9174	8802	10241	10389	4920	2647	287	226	42	14	16	13	135	500	81	76
OTU130	0	54	3	40	359	288	15671	44094	6982	3913	173	93	22	3	1436	3	121	2090	63	80
OTU131	0	207	1222	3	1200	1315	4697	28515	5160	25363	3042	707	60	53	49	83	403	2615	594	194
OTU132	0	1082	4815	1070	1490	1936	7687	8901	5869	2707	160	103	250	153	285	110	3296	23441	7266	4809
OTU133	0	57780	2742	3	133	5106	3091	1436	2217	130	59	124	7	33	160	61	571	243	59	242
OTU134	0	5881	4445	83	8994	4852	8111	10382	5118	2452	410	324	1043	681	1411	897	4114	4685	3869	5371
OTU135	0	2613	2084	625	3234	4420	7245	17261	7282	2659	296	244	37	2431	17065	2168	1522	574	522	806
OTU136	0	8415	367	59473	1011	2282	676	379	213	94	4	20	2	0	4	1	0	37	25	0
OTU137	1	4061	3615	121	3216	4209	5034	5459	3168	6096	259	227	591	685	674	376	5697	22930	4147	1856
OTU138	0	8847	4852	588	5051	3132	6509	11262	7790	5152	901	474	440	1418	1415	1415	2852	5665	2734	1809
OTU139	0	2955	526	1	645	35087	14896	5454	7326	181	29	305	2	24	350	100	1579	995	245	240
OTU140	0	4198	1686	494	2482	3044	7633	16347	14846	4860	774	565	355	1248	1393	1857	2404	3040	1672	1256
OTU141	0	13337	4835	4669	5079	5712	5236	2453	2090	1858	78	191	331	1430	3394	807	4554	8088	2199	3140
OTU142	1	221	1915	351	866	6148	2157	2057	4588	2062	267	278	1098	2743	1520	2592	9477	21444	4975	4395
OTU143	0	4947	2760	4688	2613	2833	11801	12553	6708	1611	712	239	1043	850	5333	952	1802	3765	2613	1173
OTU144	0	903	903	59735	125	367	3020	1611	264	364	29	93	102	61	9	24	214	250	430	350
OTU145	0	3	4	67323	20	6	1	4	5	0	0	3	0	3	0	0	48	25	70	22
OTU146	0	477	1783	3239	557	4098	734	2327	4941	1308	46	59	175	596	512	350	4352	31766	7314	2876
OTU147	0	13207	1183	49	14463	1217	94	7827	6126	1587	64	45	607	2385	1696	1076	2118	7174	4401	2044
OTU148	99	1161	2996	241	2126	1052	17299	25959	7059	5215	196	94	125	126	102	381	538	918	613	310
OTU149	1	1181	164	96	559	482	1598	2699	2258	1023	33	13	620	388	966	161	6891	29226	9647	7114
OTU150	0	11887	5146	805	2737	1415	4852	20957	4540	4006	322	412	91	65	109	108	1070	4484	1385	721
OTU151	2	2738	1284	11798	3449	1530	8513	5921	4925	4823	183	1204	3448	252	1366	443	781	10191	1174	632
OTU152	0	115	956	6446	3261	3427	17375	14372	10685	5858	787	342	3	2	0	0	21	87	5	12
OTU153	1	153	0	3341	68	142	346	1534	1009	218	8	5	357	99	295	160	5254	42148	5939	2324
OTU154	0	7369	5	28	21901	28165	710	810	165	39	5	84	11	1269	438	50	283	723	242	308
OTU155	0	3380	1125	4	5	22	139	10021	41819	1430	71	219	177	3019	10	0	867	179	49	8
OTU156	61700	1	132	0	6	0	3	0	2	3	0	0	0	1	0	0	4	25	9	4
