	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU5278	0	0	0	0	0	0	16	35	19	1	0	0	0	0	0	0	0	12	0	0
OTU5279	0	4	0	0	0	0	4	29	7	15	0	0	1	0	0	3	10	0	0	10
OTU5280	0	0	0	0	1	0	13	3	0	0	0	0	1	0	0	0	7	50	0	8
OTU5281	0	0	0	0	0	0	6	27	6	5	0	0	0	0	5	0	0	21	11	2
OTU5282	0	0	0	4	0	0	1	3	1	2	0	0	0	0	0	0	0	0	67	4
OTU5283	0	0	0	0	0	0	3	32	37	6	1	3	0	0	0	0	0	0	0	0
OTU5284	0	15	5	0	19	1	7	15	4	8	2	0	0	0	0	0	1	1	3	1
OTU5285	0	64	0	0	1	6	2	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU5286	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	78	0	0
OTU5287	0	7	0	0	4	4	2	23	20	8	1	0	0	0	0	2	5	4	0	2
OTU5288	0	6	1	1	3	6	10	29	20	6	0	0	0	0	0	0	0	0	0	0
OTU5289	0	0	0	78	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
OTU5290	0	4	1	3	6	8	24	1	28	4	1	2	0	0	0	0	0	0	0	0
OTU5291	0	0	0	0	0	1	4	3	5	2	0	0	4	1	1	0	6	29	25	1
OTU5292	0	4	0	0	0	0	5	5	0	0	0	0	0	2	0	0	12	47	0	7
OTU5293	0	10	15	4	7	3	5	6	3	4	0	1	0	0	1	1	4	8	7	3
OTU5294	0	0	0	0	0	0	1	7	3	0	0	0	1	0	0	0	0	65	0	5
OTU5295	0	0	0	0	0	0	2	12	56	10	0	1	0	0	0	0	1	0	0	0
OTU5296	0	0	1	0	1	0	7	3	6	0	0	0	1	1	1	1	6	42	9	3
OTU5297	0	3	0	0	0	3	2	35	10	0	0	0	4	0	0	0	4	14	7	0
OTU5298	0	12	10	0	40	10	0	7	2	1	0	0	0	0	0	0	0	0	0	0
OTU5299	0	11	15	0	8	8	10	7	19	4	0	0	0	0	0	0	0	0	0	0
OTU5300	0	8	0	0	0	0	10	26	16	1	2	1	0	0	0	0	0	17	1	0
OTU5301	0	6	0	0	0	0	0	8	6	2	0	0	0	9	0	0	18	15	16	2
OTU5302	0	3	13	1	5	17	1	3	33	0	0	0	0	0	1	0	3	0	1	1
OTU5303	0	54	12	0	8	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU5304	0	0	0	0	0	0	22	46	9	5	0	0	0	0	0	0	0	0	0	0
OTU5305	0	24	0	0	1	0	2	3	3	0	0	0	0	0	1	5	37	6	0	0
OTU5306	0	0	2	0	3	6	21	5	9	5	1	1	0	1	3	12	2	3	8	0
OTU5307	0	30	0	0	2	5	3	10	4	3	0	0	0	0	0	0	5	14	5	1
OTU5308	0	0	0	74	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0
OTU5309	0	5	0	0	2	0	0	55	0	0	0	0	0	14	1	5	0	0	0	0
OTU5310	0	0	0	0	0	0	24	15	42	1	0	0	0	0	0	0	0	0	0	0
OTU5311	0	5	6	0	16	6	13	0	17	1	0	2	0	1	3	4	3	4	1	0
OTU5312	0	3	0	0	5	3	6	4	11	13	1	0	0	6	3	2	8	7	3	7
OTU5313	0	0	0	0	0	1	19	17	29	11	0	2	0	0	0	0	0	2	0	0
OTU5314	0	5	0	0	3	4	2	37	19	7	2	1	0	0	1	0	0	0	0	0
OTU5315	0	15	4	5	5	14	6	8	22	1	1	0	0	0	0	0	0	0	0	0
OTU5316	0	5	0	0	0	0	0	17	3	0	0	0	0	0	0	0	0	50	6	0
OTU5317	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	14	58	6	0
OTU5318	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5319	0	0	0	17	0	0	5	1	1	3	0	0	0	0	0	0	10	32	7	5
OTU5320	0	2	2	0	0	10	5	0	2	2	0	1	0	0	2	10	28	5	5	7
OTU5321	0	1	0	0	0	0	0	8	3	0	0	0	0	2	2	0	8	43	10	4
OTU5322	0	6	4	1	3	5	22	30	9	1	0	0	0	0	0	0	0	0	0	0
OTU5323	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	15	33	5	7
OTU5324	0	37	8	6	11	6	4	4	0	0	0	0	0	0	0	0	1	3	0	1
OTU5325	0	1	6	0	9	8	14	15	22	6	0	0	0	0	0	0	0	0	0	0
OTU5326	0	43	8	0	8	5	2	5	0	4	0	0	0	0	1	0	2	1	0	2
OTU5327	0	1	0	1	0	1	6	7	2	1	0	0	0	13	3	9	6	7	18	6
OTU5328	0	0	77	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
OTU5329	0	0	0	0	2	0	1	0	0	0	0	0	0	0	78	0	0	0	0	0
OTU5330	0	1	2	2	0	1	2	1	3	0	0	0	2	0	0	4	13	32	17	1
OTU5331	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5332	0	0	0	0	3	1	16	42	6	10	0	2	0	0	0	0	1	0	0	0
OTU5333	0	13	37	0	2	8	3	3	15	0	0	0	0	0	0	0	0	0	0	0
OTU5334	0	5	0	0	0	0	11	31	11	2	0	0	0	0	0	0	0	19	2	0
OTU5335	0	27	0	0	0	0	47	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU5336	0	1	0	0	8	2	1	67	1	0	0	0	0	0	0	0	0	0	0	0
OTU5337	0	0	0	0	41	0	0	0	0	7	0	0	0	0	0	0	0	0	0	32
OTU5338	0	5	2	0	16	29	6	1	11	6	0	2	0	0	0	1	0	1	0	0
OTU5339	0	0	0	5	6	2	2	22	27	0	2	0	0	8	1	1	2	2	0	0
OTU5340	0	9	0	0	0	0	16	43	6	2	0	2	0	0	1	0	0	1	0	0
OTU5341	0	10	2	26	7	6	15	5	3	2	1	0	0	0	0	0	1	1	1	0
OTU5342	0	36	0	36	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0
OTU5343	0	10	10	0	12	24	1	3	1	0	1	0	1	4	1	4	1	3	3	1
OTU5344	0	1	0	0	2	0	1	28	27	4	0	1	0	1	8	7	0	0	0	0
OTU5345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	17	43	0
OTU5346	0	0	51	0	0	20	5	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU5347	0	3	1	2	52	0	3	5	2	8	1	0	0	0	3	0	0	0	0	0
OTU5348	0	39	4	0	16	5	0	0	1	0	0	0	0	0	9	5	1	0	0	0
OTU5349	0	8	0	0	1	10	11	23	8	10	0	1	0	0	0	0	0	4	4	0
OTU5350	0	0	0	0	0	0	9	1	12	12	0	0	0	1	0	0	0	37	8	0
OTU5351	0	4	24	0	1	5	13	5	2	2	0	0	0	0	1	0	10	8	4	1
OTU5352	0	2	0	0	0	0	0	29	44	3	0	0	1	0	0	1	0	0	0	0
OTU5353	0	8	0	0	3	6	0	1	9	5	0	0	0	0	0	0	1	41	6	0
OTU5354	0	7	0	0	0	0	18	33	20	1	0	1	0	0	0	0	0	0	0	0
OTU5355	0	11	1	0	0	7	3	18	29	2	0	0	1	0	0	0	1	1	5	1
OTU5356	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	5	14	47	0	3
OTU5357	0	12	41	3	11	7	0	0	1	3	0	1	0	0	0	0	0	1	0	0
OTU5358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	42	0	10
OTU5359	0	1	0	0	0	0	10	6	0	14	0	0	1	0	0	0	3	35	2	7
OTU5360	0	0	0	2	5	0	0	7	0	3	0	0	0	4	1	0	21	27	9	0
OTU5361	0	0	0	0	0	0	8	6	11	1	0	0	2	0	10	0	17	0	0	24
OTU5362	0	0	68	0	5	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0
OTU5363	0	0	1	0	0	0	16	1	7	0	0	0	1	1	0	0	3	34	12	3
OTU5364	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	65	0	2
OTU5365	0	1	0	0	0	0	0	1	5	5	0	0	0	0	0	2	9	18	17	21
OTU5366	0	5	4	20	6	2	7	16	14	4	0	0	0	0	0	0	1	0	0	0
OTU5367	0	3	0	1	0	2	17	35	14	6	1	0	0	0	0	0	0	0	0	0
OTU5368	0	27	3	2	29	0	5	6	0	1	0	0	0	0	0	0	1	2	2	1
OTU5369	0	3	6	9	2	4	22	13	9	8	1	0	0	0	0	0	1	1	0	0
OTU5370	0	18	6	24	5	6	3	10	3	3	0	0	0	0	0	0	0	0	1	0
OTU5371	1	4	0	34	2	16	13	2	4	1	1	0	0	0	0	0	1	0	0	0
OTU5372	0	0	0	0	0	0	11	2	5	0	0	0	0	0	1	1	11	36	7	5
OTU5373	0	0	0	3	0	4	0	4	0	0	0	0	3	0	0	0	0	50	7	8
OTU5374	0	0	0	0	0	0	3	16	8	0	0	0	2	0	6	0	0	29	11	4
OTU5375	0	0	0	1	0	0	21	43	14	0	0	0	0	0	0	0	0	0	0	0
OTU5376	0	4	0	0	3	0	1	11	31	2	0	2	0	3	14	0	5	2	1	0
OTU5377	0	0	4	0	4	1	26	12	22	3	0	4	0	0	0	0	3	0	0	0
OTU5378	0	0	0	0	1	6	41	12	17	1	1	0	0	0	0	0	0	0	0	0
OTU5379	0	0	0	0	0	2	18	35	24	0	0	0	0	0	0	0	0	0	0	0
OTU5380	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	73	0
OTU5381	0	0	0	0	0	1	7	14	0	2	0	0	0	0	0	0	13	42	0	0
OTU5382	0	0	0	0	0	1	29	24	6	0	0	0	0	4	0	0	0	0	15	0
OTU5383	0	15	4	0	13	12	6	13	4	7	0	0	0	0	0	0	2	1	0	2
OTU5384	0	3	1	1	2	3	10	6	2	0	1	0	0	0	3	0	2	31	6	8
OTU5385	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	14	50	2	0
OTU5386	0	4	0	10	0	0	0	5	0	36	1	0	7	0	1	0	0	12	2	1
OTU5387	1	0	0	1	5	1	4	6	4	1	0	0	0	1	4	3	5	41	1	1
OTU5388	0	0	0	0	0	0	11	14	14	1	0	0	0	0	0	0	0	18	2	19
OTU5389	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	3	59	10	3
OTU5390	0	13	0	0	2	13	6	13	15	3	0	1	0	3	2	0	6	0	1	1
OTU5391	0	0	0	0	0	2	3	0	12	3	0	1	1	0	0	1	36	19	1	0
OTU5392	0	0	3	0	0	1	3	12	22	2	0	0	1	0	0	3	4	11	12	5
OTU5393	0	2	2	0	7	4	13	5	10	5	0	0	1	0	2	1	5	3	10	8
OTU5394	0	16	26	7	4	6	6	2	2	8	0	1	0	0	0	0	0	0	0	0
OTU5395	0	6	4	6	3	11	12	4	20	1	0	1	0	1	1	2	1	4	1	0
OTU5396	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	9	29	19	17
OTU5397	0	1	0	0	0	10	0	0	0	21	2	0	4	0	0	0	39	1	0	0
OTU5398	0	0	0	71	1	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0
OTU5399	0	0	1	0	1	0	2	4	1	2	0	1	1	0	2	0	1	7	6	49
OTU5400	0	3	0	0	0	0	13	0	3	0	0	0	2	0	0	0	0	44	4	9
OTU5401	0	3	5	0	21	3	13	4	4	6	1	0	0	0	1	0	9	0	6	2
OTU5402	0	0	0	0	0	0	8	2	0	2	0	0	0	0	0	0	13	42	11	0
OTU5403	0	0	0	0	3	4	0	3	6	1	0	0	1	0	0	0	1	38	12	9
OTU5404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
OTU5405	0	6	0	0	0	2	6	24	24	0	1	0	0	0	0	15	0	0	0	0
OTU5406	0	16	3	3	7	18	10	13	4	4	0	0	0	0	0	0	0	0	0	0
OTU5407	0	18	0	0	36	4	0	11	6	1	0	0	0	0	0	0	0	0	2	0
OTU5408	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	72	0	0
OTU5409	0	1	2	0	1	1	4	17	3	4	0	0	0	1	0	0	5	26	8	5
OTU5410	0	0	0	32	0	0	0	0	0	0	0	0	0	1	0	3	8	16	13	5
OTU5411	0	0	16	0	0	23	9	6	0	3	0	0	0	0	1	0	8	5	7	0
OTU5412	0	9	32	0	10	11	1	3	10	1	0	1	0	0	0	0	0	0	0	0
OTU5413	0	0	21	1	6	0	22	7	0	0	0	13	0	0	0	7	0	1	0	0
OTU5414	0	4	0	0	0	0	0	8	9	1	0	0	2	0	0	0	37	12	4	1
OTU5415	0	57	0	0	0	14	0	3	2	0	0	0	0	0	0	0	2	0	0	0
OTU5416	0	2	0	0	9	8	21	8	24	1	0	0	0	0	3	0	2	0	0	0
OTU5417	0	7	0	28	4	0	1	0	0	0	0	0	0	0	0	0	0	38	0	0
OTU5418	0	0	0	76	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
OTU5419	0	0	0	0	0	0	27	37	8	6	0	0	0	0	0	0	0	0	0	0
OTU5420	74	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU5421	0	0	0	74	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
OTU5422	33	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	9	10	8	3
OTU5423	0	0	0	5	0	0	20	25	11	6	0	0	0	0	0	0	0	0	11	0
OTU5424	0	1	0	1	6	3	16	26	20	4	0	0	0	0	0	0	0	0	1	0
OTU5425	0	11	0	0	38	1	8	0	3	6	0	0	0	0	1	1	3	4	1	1
OTU5426	0	69	2	3	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0
OTU5427	0	8	0	5	5	3	3	16	27	4	0	0	0	1	0	0	1	0	3	2
OTU5428	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5429	0	27	6	0	4	2	3	6	23	0	0	0	0	0	1	0	4	1	0	1
OTU5430	0	0	0	0	0	0	1	2	3	0	0	0	1	0	10	0	12	31	7	10
OTU5431	0	0	0	0	0	0	0	4	23	1	0	0	0	0	2	0	18	25	2	2
OTU5432	0	0	0	74	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5433	0	3	0	0	0	3	6	18	5	1	0	0	0	0	0	0	13	22	2	4
OTU5434	0	0	0	0	0	2	4	7	0	2	0	0	1	0	0	0	0	26	0	35
OTU5435	0	8	1	0	0	0	5	51	4	1	0	0	0	0	0	0	1	3	2	1
OTU5436	0	3	0	0	21	5	1	4	31	5	0	0	0	0	0	0	3	1	3	0
OTU5437	0	0	0	1	0	2	3	33	30	5	1	1	0	0	0	0	0	1	0	0
OTU5438	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	61	9	3
OTU5439	0	0	31	0	4	1	0	13	6	0	0	0	0	0	21	1	0	0	0	0
OTU5440	0	0	1	0	1	4	6	26	33	6	0	0	0	0	0	0	0	0	0	0
OTU5441	0	11	1	0	11	8	7	15	0	0	0	0	0	0	0	20	0	1	1	2
OTU5442	0	0	0	0	0	3	6	26	23	11	1	3	0	3	0	0	1	0	0	0
OTU5443	0	0	0	0	0	0	6	0	0	0	0	0	7	2	0	0	0	58	4	0
OTU5444	0	0	0	0	0	0	9	18	2	2	0	0	0	0	0	0	14	17	4	11
OTU5445	0	0	0	57	5	4	5	5	0	1	0	0	0	0	0	0	0	0	0	0
OTU5446	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	15	55	0	0
OTU5447	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	76	0	0
OTU5448	0	2	8	2	5	9	14	23	7	6	0	0	0	0	0	0	0	0	0	1
OTU5449	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	28	35	10	1
OTU5450	0	1	0	0	50	0	0	9	5	1	0	0	0	0	5	0	6	0	0	0
OTU5451	0	0	0	0	0	7	0	5	0	0	0	6	0	0	0	0	0	59	0	0
OTU5452	0	1	2	0	1	0	13	1	25	0	0	0	0	7	5	16	0	0	6	0
OTU5453	0	0	0	0	37	0	15	3	9	12	0	0	0	0	0	0	0	0	1	0
OTU5454	0	1	2	0	2	2	3	3	2	3	0	1	0	1	2	0	11	33	6	5
OTU5455	0	0	0	0	0	0	0	25	27	0	0	0	0	8	17	0	0	0	0	0
OTU5456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	23	27	0	2
OTU5457	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	1	48
OTU5458	0	0	0	0	2	0	0	59	1	15	0	0	0	0	0	0	0	0	0	0
OTU5459	0	0	0	76	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU5460	0	0	1	13	3	8	19	16	13	4	0	0	0	0	0	0	0	0	0	0
OTU5461	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1
OTU5462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
OTU5463	0	0	0	0	0	2	9	36	23	4	2	1	0	0	0	0	0	0	0	0
OTU5464	0	0	0	1	0	9	0	29	26	0	0	0	0	0	0	2	9	0	1	0
OTU5465	0	0	0	2	0	5	16	19	13	2	0	0	2	0	0	0	8	10	0	0
OTU5466	0	0	0	0	0	0	0	7	0	0	0	0	1	1	4	0	0	46	18	0
OTU5467	0	0	0	74	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU5468	0	9	1	0	2	1	6	13	38	2	0	0	0	0	0	1	2	1	0	0
OTU5469	0	62	0	9	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU5470	0	24	4	0	7	5	0	9	5	1	1	0	0	3	0	1	3	2	8	3
OTU5471	1	1	0	0	0	7	0	0	1	0	0	0	0	0	0	1	20	37	6	2
OTU5472	0	2	0	1	0	0	0	23	12	0	3	0	0	0	0	0	3	19	9	4
OTU5473	0	1	0	0	12	6	12	4	6	3	1	0	0	2	4	1	22	2	0	0
OTU5474	0	0	0	0	70	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU5475	0	1	1	0	0	0	10	24	21	0	0	0	1	0	5	2	2	1	5	3
OTU5476	0	6	3	0	3	3	5	9	10	2	2	0	1	1	0	4	3	12	7	5
OTU5477	0	0	0	2	12	0	2	0	0	0	0	0	0	0	6	2	0	45	7	0
OTU5478	0	0	0	0	0	0	10	17	11	0	0	0	0	0	0	2	2	25	9	0
OTU5479	0	1	0	0	9	23	17	8	10	6	0	0	0	0	0	0	0	2	0	0
OTU5480	0	42	17	9	1	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0
OTU5481	0	48	18	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5482	0	0	0	0	0	0	15	2	6	5	0	0	0	0	4	0	0	37	7	0
OTU5483	0	0	1	55	0	0	0	11	0	2	0	0	0	0	0	0	1	5	0	1
OTU5484	0	9	8	0	6	1	32	18	1	1	0	0	0	0	0	0	0	0	0	0
OTU5485	0	0	48	0	17	2	0	2	0	0	1	1	1	1	0	0	0	1	2	0
OTU5486	0	3	1	0	4	1	0	56	1	0	0	0	0	7	0	3	0	0	0	0
OTU5487	0	1	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5488	0	0	0	38	3	5	18	0	1	3	0	0	0	0	1	2	1	0	2	2
OTU5489	0	6	0	0	0	0	8	27	23	5	0	0	0	0	0	4	0	0	0	3
OTU5490	0	5	1	1	2	5	3	22	14	1	0	0	1	7	0	2	10	0	0	2
OTU5491	0	8	10	1	9	15	9	4	13	6	0	0	0	0	0	0	0	0	1	0
OTU5492	0	4	0	1	0	0	5	0	17	1	0	1	0	16	0	7	0	0	24	0
OTU5493	0	0	0	0	5	0	28	25	5	13	0	0	0	0	0	0	0	0	0	0
OTU5494	0	0	4	10	1	0	1	49	1	4	1	0	0	0	0	0	0	1	1	3
OTU5495	0	3	0	0	0	0	2	0	2	3	0	1	0	0	0	0	22	43	0	0
OTU5496	0	0	0	0	0	0	2	0	18	0	0	3	0	46	0	7	0	0	0	0
OTU5497	0	5	5	2	2	14	10	29	5	2	0	2	0	0	0	0	0	0	0	0
OTU5498	0	18	4	0	3	36	1	4	4	3	0	0	0	0	0	0	1	1	1	0
OTU5499	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	3	37	8	24
OTU5500	0	0	3	0	2	1	5	8	11	5	0	0	0	0	2	1	4	21	2	10
OTU5501	0	0	0	0	0	0	0	4	0	5	0	0	6	0	0	0	0	40	20	0
OTU5502	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	6	48	10	6
OTU5503	0	16	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1
OTU5504	0	16	0	0	0	0	4	8	9	0	0	0	1	0	2	0	2	28	5	0
OTU5505	0	0	9	51	1	2	1	4	3	3	0	0	0	0	0	0	0	1	0	0
OTU5506	0	2	1	1	2	20	16	20	7	6	0	0	0	0	0	0	0	0	0	0
OTU5507	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	72	0
OTU5508	0	0	0	0	0	3	33	27	3	8	0	0	0	0	0	1	0	0	0	0
OTU5509	0	7	2	0	4	6	19	13	20	2	0	0	0	0	2	0	0	0	0	0
OTU5510	0	0	0	0	0	1	12	58	1	3	0	0	0	0	0	0	0	0	0	0
OTU5511	0	3	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU5512	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	11	47	10	0
OTU5513	0	1	1	20	3	28	3	0	0	2	0	1	0	0	1	0	2	4	4	5
OTU5514	0	6	4	14	3	12	7	12	13	3	0	0	0	0	0	0	1	0	0	0
OTU5515	0	4	0	2	0	3	10	0	4	15	0	0	2	0	1	1	18	9	1	5
OTU5516	0	9	6	0	1	0	6	14	11	1	0	0	1	0	1	0	4	14	1	6
OTU5517	0	0	0	2	0	0	22	13	13	2	0	0	0	0	0	1	7	12	0	3
OTU5518	0	0	0	49	0	2	0	1	0	0	0	13	0	0	0	0	0	10	0	0
OTU5519	0	0	0	0	0	15	0	0	0	0	0	2	0	0	3	5	0	45	0	5
OTU5520	0	2	5	1	7	7	34	2	12	2	0	2	0	0	0	0	0	1	0	0
OTU5521	0	0	0	72	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU5522	0	2	1	56	1	0	0	0	0	1	0	0	0	1	0	0	3	7	3	0
OTU5523	0	0	0	0	3	43	21	7	0	0	0	1	0	0	0	0	0	0	0	0
OTU5524	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5525	0	6	20	2	1	6	8	5	13	10	0	0	0	1	0	0	1	2	0	0
OTU5526	0	1	0	0	0	3	8	23	15	3	0	0	0	0	0	0	7	8	7	0
OTU5527	0	1	4	0	45	11	1	9	4	0	0	0	0	0	0	0	0	0	0	0
OTU5528	0	1	0	0	2	3	5	13	41	8	1	1	0	0	0	0	0	0	0	0
OTU5529	0	2	0	0	0	0	0	0	0	0	0	0	0	6	3	0	3	0	37	23
OTU5530	0	3	2	1	10	23	14	0	15	1	1	4	0	0	0	0	0	0	0	0
OTU5531	0	0	0	0	0	0	0	0	12	3	0	0	0	0	19	3	0	20	8	9
OTU5532	0	34	7	0	15	2	4	5	1	3	0	0	0	0	0	2	1	0	0	0
OTU5533	0	0	0	0	0	1	3	2	2	2	0	0	0	23	9	22	10	0	0	0
OTU5534	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
OTU5535	0	0	3	3	3	11	20	18	11	5	0	0	0	0	0	0	0	0	0	0
OTU5536	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5537	0	0	0	36	14	2	7	7	3	0	0	0	0	0	0	0	3	0	0	2
OTU5538	0	4	0	1	6	2	0	16	10	0	0	0	0	0	0	0	25	0	10	0
OTU5539	0	0	0	0	0	0	3	27	2	1	0	0	0	0	0	0	3	38	0	0
OTU5540	0	5	4	0	13	6	1	0	2	0	0	0	0	0	17	20	3	3	0	0
OTU5541	0	3	4	37	3	3	5	0	6	1	0	0	0	0	0	0	1	7	4	0
OTU5542	0	5	0	0	2	0	1	26	7	4	2	6	1	2	9	2	5	2	0	0
OTU5543	0	0	0	0	0	0	0	0	42	22	1	9	0	0	0	0	0	0	0	0
OTU5544	0	2	0	2	1	5	17	9	22	8	0	1	0	0	0	0	4	0	2	1
OTU5545	0	0	0	0	0	0	50	21	3	0	0	0	0	0	0	0	0	0	0	0
OTU5546	0	4	1	0	3	8	8	22	21	5	0	1	0	0	0	0	1	0	0	0
OTU5547	0	18	0	0	20	1	5	11	6	3	0	0	0	0	0	1	3	4	2	0
OTU5548	0	0	0	0	0	3	27	7	4	0	0	0	0	0	0	0	13	19	1	0
OTU5549	0	2	0	0	0	8	0	0	2	0	0	0	0	1	0	0	2	34	14	11
OTU5550	0	0	3	0	2	5	13	43	6	1	0	1	0	0	0	0	0	0	0	0
OTU5551	0	20	0	11	22	0	4	5	3	0	0	0	1	0	0	3	0	0	3	2
OTU5552	0	3	0	21	0	0	0	9	29	4	0	1	0	0	0	0	0	0	0	7
OTU5553	0	22	4	0	18	4	0	5	4	3	3	0	1	0	0	1	2	6	1	0
OTU5554	0	0	0	0	0	0	2	1	2	1	0	0	0	33	16	9	2	5	1	2
OTU5555	0	0	0	0	0	0	20	16	21	4	0	0	0	0	0	0	0	13	0	0
OTU5556	0	2	0	0	1	0	6	26	25	10	1	0	0	1	1	1	0	0	0	0
OTU5557	0	0	0	72	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5558	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5559	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	64	4	2
OTU5560	0	0	0	0	16	5	6	19	22	0	0	1	0	0	2	0	1	0	0	1
OTU5561	0	29	20	0	9	9	0	2	3	0	0	1	0	0	0	0	0	0	0	0
OTU5562	0	24	0	0	0	23	8	0	0	0	0	0	0	5	2	0	0	0	0	11
OTU5563	0	0	0	5	0	7	1	5	6	0	0	0	0	0	0	0	11	20	18	0
OTU5564	0	0	1	0	1	0	1	6	1	0	0	0	0	0	2	0	19	28	5	9
OTU5565	0	0	72	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU5566	0	0	0	40	0	0	7	0	0	0	0	0	1	0	9	0	9	0	7	0
OTU5567	0	7	1	0	4	2	1	1	5	4	0	0	0	0	2	2	14	15	4	11
OTU5568	0	19	6	0	22	6	4	2	6	8	0	0	0	0	0	0	0	0	0	0
OTU5569	0	15	17	0	25	5	0	6	0	1	0	0	0	0	2	0	2	0	0	0
OTU5570	0	14	0	6	7	11	15	4	1	4	0	1	2	2	0	1	1	0	0	4
OTU5571	0	12	0	2	13	10	10	11	10	3	0	0	0	0	0	0	2	0	0	0
OTU5572	0	0	0	0	0	2	11	0	12	0	0	1	0	1	0	0	0	24	18	4
OTU5573	0	2	0	1	1	3	8	21	35	1	0	1	0	0	0	0	0	0	0	0
OTU5574	0	1	0	15	29	3	9	2	1	1	0	0	0	6	0	0	6	0	0	0
OTU5575	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5576	0	7	8	3	5	12	16	0	20	2	0	0	0	0	0	0	0	0	0	0
OTU5577	0	11	0	0	0	4	1	19	18	9	0	0	0	1	0	0	2	5	2	1
OTU5578	0	0	0	0	0	1	0	0	48	1	0	0	0	0	0	0	22	0	0	1
