OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU6049	Bacteria	?	?	?	?	?	?
OTU6051	Bacteria	Proteobacteria	Gammaproteobacteria	Ga0077536	?	?	?
OTU6057	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU6059	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Schlesneria	?
OTU6053	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	?	?	?
OTU6054	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU6056	Bacteria	Myxococcota	Polyangia	mle1-27	metagenome	?	?
OTU6062	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	?	?
OTU6055	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6060	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	?	?
OTU6061	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	?
OTU6065	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Micromonosporaceae bacterium
OTU6063	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	?	?
OTU6058	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU6067	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	?
OTU6064	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	?	?
OTU6068	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU6069	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	?
OTU6066	Bacteria	Myxococcota	Polyangia	mle1-27	metagenome	?	?
OTU6070	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU6072	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6071	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	uncultured Cytophagales bacterium	?
OTU6073	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia	?
OTU6075	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	?	?
OTU6076	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	?
OTU6081	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	?	?
OTU6078	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	uncultured Candidatus Dependentiae bacterium	?
OTU6079	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU6085	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Candidatus Fonsibacter ubiquis	?
OTU6077	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU6086	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	?	?
OTU6083	Bacteria	SAR324 clade(Marine group B)	uncultured delta proteobacterium	?	?	?	?
OTU6080	Bacteria	?	?	?	?	?	?
OTU6087	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	?	?
OTU6084	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU6089	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU6088	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	?	?
OTU6074	Eukaryota	?	Trebouxiophyceae	Chlorellales	?	Nannochloris	Nannochloris sp. SAG 251-2
OTU6094	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6090	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	?	?	?
OTU6093	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	uncultured Chlorobi bacterium	?
OTU6091	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	?	?
OTU6095	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	?
OTU6092	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU6098	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU6096	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	?	?	?
OTU6097	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6099	Bacteria	Latescibacterota	?	?	?	?	?
OTU6100	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU6101	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6108	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	?	?
OTU6102	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	metagenome	?	?
OTU6104	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	?	?
OTU6105	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6103	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	?	?
OTU6110	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	metagenome	?
OTU6106	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6107	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU6109	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	?	?
OTU6111	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	uncultured Flavobacterium sp.
OTU6112	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU6114	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	?	?
OTU6116	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	?
OTU6113	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	?
OTU6115	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	?	?	?
OTU6117	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6121	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	?
OTU6124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU6118	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Gymnosporangium	Gymnosporangium ellisii
OTU6120	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU6123	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	?	?
OTU6119	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	?
OTU6126	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	?	?	?
OTU6125	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	?	?
OTU6122	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	?
OTU6128	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29 marine group	?
OTU6127	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6129	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	?	?
OTU6130	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6131	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
OTU6132	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6136	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	?	?
OTU6134	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU6139	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	?	?
OTU6137	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	?	?	?
OTU6140	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	?
OTU6135	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	?	uncultured Rhizomicrobium sp.
OTU6141	Bacteria	Planctomycetota	OM190	?	?	?	?
OTU6138	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	?	?	?
OTU6142	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	metagenome	?	?
OTU6143	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	?
OTU6144	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	?	?
OTU6147	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU6146	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovarius	uncultured Alphaproteobacteria bacterium
OTU6145	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	metagenome
OTU6148	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	?	?
OTU6151	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307	?
OTU6155	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Monodopsis sp. MarTras21	?	?
OTU6149	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	?	?	?
OTU6153	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	?
OTU6154	Bacteria	Planctomycetota	Phycisphaerae	S-70	bacterium enrichment culture clone SRAO_22	?	?
OTU6156	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	?	?
OTU6158	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	?
OTU6150	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU6157	Bacteria	Myxococcota	Polyangia	Polyangiales	Eel-36e1D6	?	?
OTU6159	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Crenothrix	?
OTU6160	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	?	?
OTU6162	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovarius	uncultured Alphaproteobacteria bacterium
OTU6163	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	?	?
OTU6167	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU6164	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU6165	Bacteria	Cyanobacteria	Cyanobacteriia	Gloeobacterales	Gloeobacteraceae	?	?
OTU6166	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	?
OTU6171	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	?	?
OTU6168	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	?	?
OTU6170	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	?
OTU6172	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	?	?
OTU6174	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU6161	Eukaryota	Archamoebae	Incertae Sedis	?	?	?	?
OTU6175	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6177	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	?
OTU6181	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	?	?
OTU6183	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6180	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6178	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	?	?
OTU6176	Bacteria	Proteobacteria	?	?	?	?	?
OTU6179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	?	?
OTU6184	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	?	?
OTU6182	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU6185	Bacteria	Verrucomicrobiota	Verrucomicrobiae	?	?	?	?
OTU6173	Eukaryota	Archamoebae	Incertae Sedis	?	?	?	?
OTU6187	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	?	?
OTU6186	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU6188	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6189	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	?	?
OTU6190	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	?	?
OTU6191	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	?	?	?
OTU6192	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	?
OTU6196	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6195	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	?
OTU6193	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6194	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6197	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	?	?
OTU6199	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	?
OTU6204	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	?	?
OTU6200	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured Verrucomicrobia bacterium	?
OTU6203	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	?	?
OTU6198	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU6201	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	?
OTU6205	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU6206	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	?	?
OTU6207	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU6211	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	?
OTU6208	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	?
OTU6209	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	metagenome
OTU6213	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Gymnosporangium	Gymnosporangium ellisii
OTU6210	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	?	?	?
OTU6215	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	?	?
OTU6212	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	?
OTU6214	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	metagenome
OTU6216	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	?	?
OTU6217	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	?	?
OTU6219	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU6218	Bacteria	Planctomycetota	vadinHA49	?	?	?	?
OTU6220	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales Incertae Sedis	Phreatobacter	Alphaproteobacteria bacterium
OTU6222	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	?	?
OTU6221	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	?
OTU6223	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	?	?
OTU6224	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	?	?
OTU6226	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	uncultured Sorangiineae bacterium	?
OTU6227	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
OTU6225	Bacteria	Patescibacteria	Parcubacteria	?	?	?	?
OTU6229	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	?
OTU6228	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	uncultured Chlamydia sp.	?
OTU6231	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Belnapia	Belnapia soli
OTU6230	Bacteria	Dependentiae	Babeliae	Babeliales	?	?	?
OTU6234	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	?
OTU6232	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU6233	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	GKS98 freshwater group	metagenome
OTU6235	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chlorokybus atmophyticus	?	?
OTU6236	Bacteria	Myxococcota	Polyangia	mle1-27	metagenome	?	?
OTU6238	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU6239	Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Taonella	?	?
OTU6240	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	?	?
OTU6242	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	?	?
OTU6244	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6243	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU6245	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	?	?
OTU6247	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU6246	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU6250	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	?	metagenome
OTU6249	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6248	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	metagenome
OTU6251	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU6258	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	?
OTU6252	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	?	?
OTU6253	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	?	?
OTU6256	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	?	?	?
OTU6255	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	?
OTU6263	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	?	?	?
OTU6254	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	?	?
OTU6257	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	?	?
OTU6261	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	?	?	?
OTU6259	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Schlesneria	?
OTU6260	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	?
OTU6262	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	?	?	?
OTU6264	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	?	?
OTU6265	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	?	?	?
OTU6266	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	?
OTU6270	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	?	?
OTU6269	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	?	?
OTU6268	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU6272	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	metagenome	?
OTU6278	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	?	?
OTU6271	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	?
OTU6267	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU6273	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	?	?
OTU6274	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	?	metagenome	?
OTU6275	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6277	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6279	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6276	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU6281	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	?
OTU6280	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6282	Bacteria	Actinobacteriota	Actinobacteria	PeM15	?	?	?
OTU6289	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU6285	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	?	?	?
OTU6288	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura	?
OTU6287	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU6286	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	?	?
OTU6284	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	?	?
OTU6292	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	uncultured Singulisphaera sp.
OTU6293	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Candidatus Nanopelagicus
OTU6290	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6291	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU6294	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	metagenome	?
OTU6297	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Kamptonema PCC-6407	Oscillatoriales cyanobacterium
OTU6295	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	?
OTU6296	Bacteria	Acidobacteriota	Blastocatellia	11-24	?	?	?
OTU6299	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	?	?
OTU6301	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	?	?
OTU6302	Bacteria	Acidobacteriota	Subgroup 22	?	?	?	?
OTU6298	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	?	?
OTU6300	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	Chlamydiales bacterium NS11	?
OTU6304	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	?	?	?
OTU6303	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	?
OTU6305	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	uncultured Rubrobacteraceae bacterium	?
OTU6308	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6307	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU6311	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	metagenome
OTU6313	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	metagenome
OTU6306	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU6309	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	metagenome	?	?
OTU6312	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	?
OTU6315	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	?
OTU6310	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	?	?
OTU6316	Bacteria	Actinobacteriota	Actinobacteria	PeM15	?	?	?
OTU6317	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU6318	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU6314	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU6320	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	?	?
OTU6319	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU6321	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV114	metagenome
OTU6322	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	?	?	?
OTU6323	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU6326	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	uncultured soil bacterium	?
OTU6324	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	?	?	?
OTU6329	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU6325	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	?	?
