OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2112	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU2113	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	uncultured Gemmatimonadetes bacterium
OTU2119	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2122	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	?
OTU2114	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Parasegetibacter	Parasegetibacter luojiensis
OTU2116	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	metagenome	?
OTU2118	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU2121	Bacteria	Chloroflexi	KD4-96	metagenome	?	?	?
OTU2117	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	?	?	?
OTU2120	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	?
OTU2123	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	?
OTU2124	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	?
OTU2126	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	?
OTU2129	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	?	?
OTU2128	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	?	?
OTU2131	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	?	?	?
OTU2130	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	Candidatus Nanopelagicus
OTU2134	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2132	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU2127	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU2133	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	?
OTU2135	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU2137	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Monodopsis sp. MarTras21	?	?
OTU2138	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	?
OTU2141	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU2139	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	?
OTU2143	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2140	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	?	?
OTU2136	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU2142	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	?
OTU2144	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU2146	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	?
OTU2145	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	?	?
OTU2149	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU2152	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	?	?
OTU2148	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	?	?
OTU2147	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena PCC-7403	Pseudanabaena sp.
OTU2155	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU2150	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU2151	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	metagenome	?
OTU2153	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU2157	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	?	?
OTU2154	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	?	?
OTU2159	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas aquatica
OTU2158	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU2161	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Pinus koraiensis	?	?
OTU2160	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	?	?	?
OTU2167	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Candidatus Fonsibacter ubiquis	?
OTU2165	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	?	?	?
OTU2164	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV	?	?	?
OTU2162	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	?	?
OTU2166	Bacteria	Proteobacteria	Alphaproteobacteria	?	metagenome	?	?
OTU2163	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	?	?
OTU2170	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Nodosilinea PCC-7104	Leptolyngbya sp.
OTU2168	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	uncultured Cytophagales bacterium	?
OTU2172	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	?	?
OTU2169	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	?
OTU2171	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium petroleophilum
OTU2174	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Planktothrix NIVA-CYA 15	?
OTU2175	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	?
OTU2181	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	metagenome
OTU2176	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	Longivirga aurantiaca
OTU2177	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Oleiphilus	uncultured gamma proteobacterium
OTU2184	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	?	?
OTU2173	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU2179	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	?	uncultured Bacteroidetes bacterium
OTU2180	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	endosymbiont of
OTU2182	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	?	?	?
OTU2186	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosospira	?
OTU2187	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	?	?	?
OTU2185	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	?	?
OTU2188	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	?	?
OTU2189	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	?	?
OTU2190	Bacteria	NB1-j	?	?	?	?	?
OTU2178	Eukaryota	Bicosoecida	?	?	?	?	?
OTU2197	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	?
OTU2196	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	?	?
OTU2191	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	metagenome
OTU2194	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
OTU2198	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU2193	Bacteria	Chloroflexi	Gitt-GS-136	uncultured Caldilineaceae bacterium	?	?	?
OTU2195	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	?
OTU2183	Eukaryota	Archamoebae	Incertae Sedis	?	?	?	?
OTU2199	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	?	?
OTU2200	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
OTU2205	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU2201	Bacteria	Proteobacteria	Gammaproteobacteria	EV818SWSAP88	uncultured gamma proteobacterium	?	?
OTU2203	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU2202	Bacteria	Actinobacteriota	?	?	?	?	?
OTU2204	Bacteria	Planctomycetota	vadinHA49	?	?	?	?
OTU2206	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Microcystis PCC-7914	?
OTU2209	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas rhizosphaerae
